challenge_id,target_parsed_to_tcp_sent_ns
2009,2128500
2008,2444958
2009,2464417
2012,2071833
2013,3970500
2013,3990584
2012,593875
2013,912333
2015,946834
2014,2683792
2017,2545750
2017,2573875
2018,910875
2019,3208750
2018,1135334
2019,5783541
2021,2848584
2021,2886959
2022,1381375
2021,967292
2022,277333
2025,260041
2023,2181291
2026,228458
2025,712625
2028,3332792
2029,952833
2030,2341209
2031,3348042
2030,2028834
2031,758083
2034,4299542
2033,4093958
2034,156541
2036,2716250
2035,1387416
2036,1319833
2037,6334875
2039,2319375
2039,386875
2041,2635875
2041,3942917
2041,3951292
2042,4303708
2043,2371166
2044,2644833
2043,607333
2045,1103125
2044,1320459
2046,3256625
2045,2165667
2048,2184250
2048,1974666
2050,2624250
2051,2797458
2050,1078667
2051,1104292
2053,598667
2052,6423541
2055,3780750
2057,9730292
2054,197084
2059,175625
2057,1635166
2060,1266917
2058,349500
2059,6258125
2061,2240750
2062,2455625
2062,1291708
2065,3583000
2065,3597625
2065,4547709
2065,4575834
2067,3822792
2068,450125
2066,2175292
2068,155084
2069,1879375
2071,3704416
2070,2100833
2071,991792
2074,3140834
2075,1271250
2074,1072666
2075,487000
2076,3165083
2077,4766209
2077,4799084
2077,4955500
2080,806292
2079,2293375
2079,2294625
2081,2153958
2080,2111917
2081,1812000
2082,2456208
2082,1397000
2083,3963000
2083,3965791
2084,3184750
2085,1618042
2087,3854458
2086,1898542
2088,1387208
2088,48709
2089,3181541
2090,4324333
2090,4394583
2091,2431250
2090,1180125
2092,2419000
2092,2166292
2093,3235708
2095,2549875
2094,1177750
2095,2933917
2095,2942709
2095,2967125
2098,2431208
2099,2649583
2100,257042
2098,2240167
2099,1170250
2101,1364625
2100,1727250
2102,339666
2103,303833
2104,1371292
2104,1373209
2102,878209
2103,3723667
2104,2675250
2105,1764125
2107,3049292
2107,2391375
2108,422584
2109,937583
2110,1168959
2110,1170959
2111,986708
2113,2688583
2113,2118084
2115,23584
2115,16125
2116,978292
2117,2553292
2117,1475291
2119,2414542
2120,274708
2120,301625
2118,3258542
2119,55083
2122,3569042
2121,2637125
2124,244834
2123,107333
2123,124542
2125,3615167
2124,1762000
2125,2922625
2126,2400625
2127,3768917
2128,2007708
2126,2040417
2127,1206708
2128,141583
2131,460708
2132,1439209
2130,2175541
2133,47708
2132,1265333
2133,1007417
2135,2674083
2135,2776292
2137,2575167
2138,965834
2139,1857750
2138,1624041
2139,5353750
2140,2385959
2141,3118084
2141,3136792
2142,2910292
2142,2976417
2141,398084
2143,958209
2144,2565958
2145,16500
2146,4007917
2147,801958
2145,438875
2146,1643708
2146,1658333
2148,1178125
2147,1256250
2149,4065750
2150,2572208
2150,2586083
2151,3681583
2151,3722083
2150,385792
2151,1295250
2153,2824167
2153,2824667
2152,4336667
2153,2968208
2155,2654542
2154,1266500
2155,33000
2156,2576583
2156,2594333
2158,2542208
2160,2294500
2161,2267833
2160,1079833
2162,1672666
2161,31125
2163,1888042
2162,35333
2162,41916
2163,2059000
2165,2369125
2166,2400708
2165,1197750
2166,1031792
2168,929084
2168,1419500
2169,2599625
2171,2624833
2169,1392541
2171,1839458
2173,2212459
2173,35167
2174,3677625
2177,1889792
2175,86208
2175,87041
2176,1205958
2179,3709458
2178,2708625
2179,695041
2181,1398917
2182,2703834
2182,2735125
2181,2231167
2183,445291
2184,2465542
2183,207916
2185,3958958
2185,4204500
2186,2520542
2187,2907083
2187,2932333
2186,770500
2187,950791
2189,2720291
2189,2748416
2189,3178292
2191,3347417
2192,393958
2193,2084125
2192,1046000
2194,24584
2195,2872417
2194,30833
2196,1325916
2197,2256792
2198,40833
2197,3655166
2199,1263416
2200,1636209
2201,561125
2200,1254333
2202,2906125
2203,3661875
2202,725375
2205,879250
2204,1332792
2204,1415250
2206,3831500
2205,2451542
2205,2493625
2206,1616667
2209,3516458
2208,1547583
2210,4892750
2211,2743625
2213,1972084
2214,851458
2216,2127333
2215,1941000
2216,765334
2218,3840667
2218,565791
2220,26417
2221,2046250
2221,2064250
2222,832291
2220,34875
2221,1279667
2223,2483084
2222,1111083
2225,1469833
2225,1494875
2225,113375
2227,2327750
2227,2356167
2228,2691042
2228,831625
2229,3164292
2230,2488709
2231,3319417
2230,983500
2232,936167
2231,1316916
2232,68166
2235,2162083
2236,2570500
2235,1054292
2237,1302459
2238,2582833
2239,5752333
2237,443625
2237,543791
2238,1254834
2240,37542
2241,3465708
2241,3377958
2242,57875
2243,3489292
2244,2533000
2245,4520625
2245,4521792
2246,546959
2246,577209
2245,2584709
2247,419208
2247,420333
2247,473917
2246,2006334
2248,4054000
2249,1125250
2248,880958
2249,61875
2250,4055917
2251,2605708
2251,1032792
2252,80166
2255,1330333
2254,1993125
2255,2078209
2256,263541
2259,2690042
2258,2532209
2261,830167
2260,2144916
2262,2378083
2263,4584833
2263,1678917
2264,2599083
2264,2609083
2265,2782667
2264,1202834
2266,717709
2267,1644667
2266,224666
2267,2917958
2269,4751834
2269,356666
2271,1970083
2271,4402666
2272,2611916
2273,1999875
2272,2252750
2273,894792
2275,1436625
2275,1463542
2274,1561208
2274,1584291
2275,3170125
2276,2658583
2277,3966750
2278,453875
2279,3947250
2280,2665875
2280,2747541
2280,2748875
2277,234291
2280,315791
2281,2846667
2282,1246541
2284,3652500
2283,61250
2284,885542
2286,4498166
2287,2539917
2289,1715917
2288,774875
2290,2695792
2291,4102625
2289,2286833
2293,6531042
2292,123708
2294,2392000
2294,535333
2296,2011709
2297,621250
2296,2391417
2297,5777417
2299,3595875
2298,83875
2299,1036709
2300,828292
2301,2648083
2304,365666
2304,97292
2304,97958
2306,2427584
2306,2440084
2305,82125
2306,2460250
2307,1409750
2309,3814375
2310,567375
2309,3768292
2309,3770167
2310,51834
2312,2460500
2313,3552000
2315,128000
2313,4663500
2313,4671375
2314,21750
2315,3868125
2316,3182791
2316,3208416
2316,3251666
2317,2576916
2316,1151250
2318,152958
2317,4960625
2318,2343125
2318,2363791
2319,3819458
2319,3838292
2321,348291
2321,364875
2320,3513958
2321,2286834
2321,2308625
2321,2341000
2322,3517166
2324,506583
2323,144917
2324,2001875
2326,728875
2327,1708917
2328,2331417
2329,3567084
2329,3590042
2328,4081334
2328,4094750
2329,752541
2331,3893542
2330,361375
2332,2718791
2331,506583
2334,1787958
2333,1731792
2334,1193167
2334,1247167
2336,1727209
2338,3628791
2339,1117209
2342,2000750
2342,2035542
2343,2034125
2344,2495500
2344,2524334
2344,2527500
2343,1423417
2345,4401750
2345,4426167
2346,350250
2347,901250
2346,1267750
2348,1065625
2347,694417
2349,2510042
2349,1147000
2351,1178584
2350,2655000
2352,2034916
2355,120667
2354,2076958
2357,2576292
2357,883125
2360,2398958
2358,5152750
2359,215250
2361,2539625
2362,2544417
2362,2559875
2361,1102042
2362,1218208
2363,640084
2365,3336833
2364,2034000
2365,545000
2367,1514083
2367,1588041
2366,1019125
2368,3670000
2369,545500
2368,468750
2369,2935292
2370,3609083
2371,2732875
2373,54625
2371,329083
2374,687292
2375,2519000
2376,2298542
2376,2314667
2375,1215792
2377,1284458
2376,1076791
2378,2100916
2378,4654333
2380,1764458
2380,1807000
2381,1319208
2382,2607167
2382,2641042
2381,1852250
2383,2605500
2383,1479292
2384,1370625
2384,1371250
2387,1401750
2387,1143917
2389,1120458
2388,1164750
2390,2673625
2390,2705000
2391,2149083
2390,841000
2391,1332792
2393,1333459
2392,2074917
2394,1430917
2394,1439500
2395,3214792
2394,753542
2396,2618833
2397,2655542
2397,235167
2399,3533750
2400,4257583
2402,652000
2401,1117792
2403,2575625
2404,4498084
2404,4588250
2405,2581209
2405,420500
2407,686209
2408,4728792
2408,1252000
2409,3225167
